17673,1497380284.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS potential dns cache poisoning attempt - mismatched txid,,,,,,
17674,1497380292.0,,,192.168.4.119,79.171.91.39,Reset outside window,,,,,,
17675,1497380315.0,,,192.168.2.112,192.168.5.1,ICMP test detected,,,,,,
17676,1497380315.0,,,192.168.2.112,192.168.5.4,ICMP test detected,,,,,,
17677,1497380315.0,,,192.168.2.112,192.168.5.5,ICMP test detected,,,,,,
17678,1497380315.0,,,192.168.2.112,192.168.5.6,ICMP test detected,,,,,,
17679,1497380315.0,,,192.168.2.112,192.168.5.7,ICMP test detected,,,,,,
17680,1497380315.0,,,192.168.2.112,192.168.5.8,ICMP test detected,,,,,,
17681,1497380315.0,,,192.168.2.112,192.168.5.9,ICMP test detected,,,,,,
17682,1497380315.0,,,192.168.2.112,192.168.5.10,ICMP test detected,,,,,,
17683,1497380315.0,,,192.168.2.112,192.168.5.11,ICMP test detected,,,,,,
17684,1497380315.0,,,192.168.2.112,192.168.5.12,ICMP test detected,,,,,,
17685,1497380315.0,,,192.168.2.112,192.168.5.15,ICMP test detected,,,,,,
17686,1497380315.0,,,192.168.2.112,192.168.5.16,ICMP test detected,,,,,,
17687,1497380315.0,,,192.168.2.112,192.168.5.19,ICMP test detected,,,,,,
17688,1497380315.0,,,192.168.2.112,192.168.5.20,ICMP test detected,,,,,,
17689,1497380315.0,,,192.168.2.112,192.168.5.21,ICMP test detected,,,,,,
17690,1497380315.0,,,192.168.2.112,192.168.5.22,ICMP test detected,,,,,,
17691,1497380315.0,,,192.168.2.112,192.168.5.23,ICMP test detected,,,,,,
17692,1497380315.0,,,192.168.2.112,192.168.5.24,ICMP test detected,,,,,,
17693,1497380315.0,,,192.168.2.112,192.168.5.25,ICMP test detected,,,,,,
17694,1497380315.0,,,192.168.2.112,192.168.5.26,ICMP test detected,,,,,,
17695,1497380315.0,,,192.168.2.112,192.168.5.27,ICMP test detected,,,,,,
17696,1497380315.0,,,192.168.2.112,192.168.5.28,ICMP test detected,,,,,,
17697,1497380315.0,,,192.168.2.112,192.168.5.29,ICMP test detected,,,,,,
17698,1497380316.0,,,192.168.2.112,192.168.5.32,ICMP test detected,,,,,,
17699,1497380316.0,,,192.168.2.112,192.168.5.33,ICMP test detected,,,,,,
17700,1497380316.0,,,192.168.2.112,192.168.5.34,ICMP test detected,,,,,,
17701,1497380316.0,,,192.168.2.112,192.168.5.35,ICMP test detected,,,,,,
17702,1497380316.0,,,192.168.2.112,192.168.5.36,ICMP test detected,,,,,,
17703,1497380316.0,,,192.168.2.112,192.168.5.37,ICMP test detected,,,,,,
17704,1497380316.0,,,192.168.2.112,192.168.5.38,ICMP test detected,,,,,,
17705,1497380316.0,,,192.168.2.112,192.168.5.39,ICMP test detected,,,,,,
17706,1497380316.0,,,192.168.2.112,192.168.5.40,ICMP test detected,,,,,,
17707,1497380316.0,,,192.168.2.112,192.168.5.41,ICMP test detected,,,,,,
17708,1497380316.0,,,192.168.2.112,192.168.5.42,ICMP test detected,,,,,,
17709,1497380316.0,,,192.168.2.112,192.168.5.45,ICMP test detected,,,,,,
17710,1497380316.0,,,192.168.2.112,192.168.5.46,ICMP test detected,,,,,,
17711,1497380316.0,,,192.168.2.112,192.168.5.47,ICMP test detected,,,,,,
17712,1497380316.0,,,192.168.2.112,192.168.5.48,ICMP test detected,,,,,,
17713,1497380316.0,,,192.168.2.112,192.168.5.49,ICMP test detected,,,,,,
17714,1497380316.0,,,192.168.2.112,192.168.5.50,ICMP test detected,,,,,,
17715,1497380316.0,,,192.168.2.112,192.168.5.51,ICMP test detected,,,,,,
17716,1497380316.0,,,192.168.2.112,192.168.5.52,ICMP test detected,,,,,,
17717,1497380316.0,,,192.168.2.112,192.168.5.53,ICMP test detected,,,,,,
17718,1497380316.0,,,192.168.2.112,192.168.5.54,ICMP test detected,,,,,,
17719,1497380316.0,,,192.168.2.112,192.168.5.55,ICMP test detected,,,,,,
17720,1497380316.0,,,192.168.2.112,192.168.5.58,ICMP test detected,,,,,,
17721,1497380316.0,,,192.168.2.112,192.168.5.59,ICMP test detected,,,,,,
17722,1497380316.0,,,192.168.2.112,192.168.5.60,ICMP test detected,,,,,,
17723,1497380316.0,,,192.168.2.112,192.168.5.61,ICMP test detected,,,,,,
17724,1497380316.0,,,192.168.2.112,192.168.5.62,ICMP test detected,,,,,,
17725,1497380316.0,,,192.168.2.112,192.168.5.63,ICMP test detected,,,,,,
17726,1497380316.0,,,192.168.2.112,192.168.5.64,ICMP test detected,,,,,,
17727,1497380316.0,,,192.168.2.112,192.168.5.65,ICMP test detected,,,,,,
17728,1497380316.0,,,192.168.2.112,192.168.5.66,ICMP test detected,,,,,,
17729,1497380316.0,,,192.168.2.112,192.168.5.67,ICMP test detected,,,,,,
17730,1497380316.0,,,192.168.2.112,192.168.5.68,ICMP test detected,,,,,,
17731,1497380316.0,,,192.168.2.112,192.168.5.71,ICMP test detected,,,,,,
17732,1497380316.0,,,192.168.2.112,192.168.5.72,ICMP test detected,,,,,,
17733,1497380316.0,,,192.168.2.112,192.168.5.73,ICMP test detected,,,,,,
17734,1497380316.0,,,192.168.2.112,192.168.5.74,ICMP test detected,,,,,,
17735,1497380316.0,,,192.168.2.112,192.168.5.75,ICMP test detected,,,,,,
17736,1497380316.0,,,192.168.2.112,192.168.5.76,ICMP test detected,,,,,,
17737,1497380316.0,,,192.168.2.112,192.168.5.77,ICMP test detected,,,,,,
17738,1497380316.0,,,192.168.2.112,192.168.5.78,ICMP test detected,,,,,,
17739,1497380316.0,,,192.168.2.112,192.168.5.79,ICMP test detected,,,,,,
17740,1497380316.0,,,192.168.2.112,192.168.5.80,ICMP test detected,,,,,,
17741,1497380316.0,,,192.168.2.112,192.168.5.81,ICMP test detected,,,,,,
17742,1497380316.0,,,192.168.2.112,192.168.5.84,ICMP test detected,,,,,,
17743,1497380316.0,,,192.168.2.112,192.168.5.85,ICMP test detected,,,,,,
17744,1497380316.0,,,192.168.2.112,192.168.5.86,ICMP test detected,,,,,,
17745,1497380316.0,,,192.168.2.112,192.168.5.87,ICMP test detected,,,,,,
17746,1497380316.0,,,192.168.2.112,192.168.5.88,ICMP test detected,,,,,,
17747,1497380316.0,,,192.168.2.112,192.168.5.89,ICMP test detected,,,,,,
17748,1497380316.0,,,192.168.2.112,192.168.5.90,ICMP test detected,,,,,,
17749,1497380316.0,,,192.168.2.112,192.168.5.91,ICMP test detected,,,,,,
17750,1497380316.0,,,192.168.2.112,192.168.5.92,ICMP test detected,,,,,,
17751,1497380316.0,,,192.168.2.112,192.168.5.93,ICMP test detected,,,,,,
17752,1497380316.0,,,192.168.2.112,192.168.5.94,ICMP test detected,,,,,,
17753,1497380316.0,,,192.168.2.112,192.168.5.97,ICMP test detected,,,,,,
17754,1497380316.0,,,192.168.2.112,192.168.5.98,ICMP test detected,,,,,,
17755,1497380316.0,,,192.168.2.112,192.168.5.99,ICMP test detected,,,,,,
17756,1497380316.0,,,192.168.2.112,192.168.5.100,ICMP test detected,,,,,,
17757,1497380316.0,,,192.168.2.112,192.168.5.101,ICMP test detected,,,,,,
17758,1497380316.0,,,192.168.2.112,192.168.5.102,ICMP test detected,,,,,,
17759,1497380316.0,,,192.168.2.112,192.168.5.103,ICMP test detected,,,,,,
17760,1497380316.0,,,192.168.2.112,192.168.5.104,ICMP test detected,,,,,,
17761,1497380316.0,,,192.168.2.112,192.168.5.105,ICMP test detected,,,,,,
17762,1497380316.0,,,192.168.2.112,192.168.5.106,ICMP test detected,,,,,,
17763,1497380316.0,,,192.168.2.112,192.168.5.107,ICMP test detected,,,,,,
17787,1497380317.0,,,192.168.2.112,192.168.5.114,ICMP test detected,,,,,,
17788,1497380317.0,,,192.168.2.112,192.168.5.115,ICMP test detected,,,,,,
17789,1497380317.0,,,192.168.2.112,192.168.5.116,ICMP test detected,,,,,,
17790,1497380317.0,,,192.168.2.112,192.168.5.117,ICMP test detected,,,,,,
17791,1497380317.0,,,192.168.2.112,192.168.5.118,ICMP test detected,,,,,,
17792,1497380317.0,,,192.168.2.112,192.168.5.119,ICMP test detected,,,,,,
17793,1497380317.0,,,192.168.2.112,192.168.5.120,ICMP test detected,,,,,,
17794,1497380317.0,,,192.168.2.112,192.168.5.121,ICMP test detected,,,,,,
17795,1497380317.0,,,192.168.2.112,192.168.5.122,ICMP test detected,,,,,,
17796,1497380317.0,,,192.168.2.112,192.168.5.123,ICMP test detected,,,,,,
17797,1497380317.0,,,192.168.2.112,192.168.5.124,ICMP test detected,,,,,,
17798,1497380317.0,,,192.168.2.112,192.168.5.125,ICMP test detected,,,,,,
17799,1497380317.0,,,192.168.2.112,192.168.5.126,ICMP test detected,,,,,,
17800,1497380317.0,,,192.168.2.112,192.168.5.127,ICMP test detected,,,,,,
17801,1497380317.0,,,192.168.2.112,192.168.5.128,ICMP test detected,,,,,,
17802,1497380317.0,,,192.168.2.112,192.168.5.129,ICMP test detected,,,,,,
17803,1497380317.0,,,192.168.2.112,192.168.5.130,ICMP test detected,,,,,,
17804,1497380317.0,,,192.168.2.112,192.168.5.131,ICMP test detected,,,,,,
17805,1497380317.0,,,192.168.2.112,192.168.5.132,ICMP test detected,,,,,,
17806,1497380317.0,,,192.168.2.112,192.168.5.133,ICMP test detected,,,,,,
17807,1497380317.0,,,192.168.2.112,192.168.5.134,ICMP test detected,,,,,,
17808,1497380317.0,,,192.168.2.112,192.168.5.135,ICMP test detected,,,,,,
17809,1497380317.0,,,192.168.2.112,192.168.5.136,ICMP test detected,,,,,,
17810,1497380317.0,,,192.168.2.112,192.168.5.137,ICMP test detected,,,,,,
17811,1497380317.0,,,192.168.2.112,192.168.5.138,ICMP test detected,,,,,,
17812,1497380317.0,,,192.168.2.112,192.168.5.139,ICMP test detected,,,,,,
17813,1497380317.0,,,192.168.2.112,192.168.5.140,ICMP test detected,,,,,,
17814,1497380317.0,,,192.168.2.112,192.168.5.141,ICMP test detected,,,,,,
17815,1497380317.0,,,192.168.2.112,192.168.5.142,ICMP test detected,,,,,,
17816,1497380317.0,,,192.168.2.112,192.168.5.143,ICMP test detected,,,,,,
17817,1497380317.0,,,192.168.2.112,192.168.5.144,ICMP test detected,,,,,,
17818,1497380317.0,,,192.168.2.112,192.168.5.145,ICMP test detected,,,,,,
17819,1497380317.0,,,192.168.2.112,192.168.5.146,ICMP test detected,,,,,,
17820,1497380317.0,,,192.168.2.112,192.168.5.147,ICMP test detected,,,,,,
17821,1497380317.0,,,192.168.2.112,192.168.5.148,ICMP test detected,,,,,,
17822,1497380317.0,,,192.168.2.112,192.168.5.149,ICMP test detected,,,,,,
17823,1497380317.0,,,192.168.2.112,192.168.5.150,ICMP test detected,,,,,,
17824,1497380317.0,,,192.168.2.112,192.168.5.151,ICMP test detected,,,,,,
17825,1497380317.0,,,192.168.2.112,192.168.5.152,ICMP test detected,,,,,,
17826,1497380317.0,,,192.168.2.112,192.168.5.153,ICMP test detected,,,,,,
17827,1497380317.0,,,192.168.2.112,192.168.5.154,ICMP test detected,,,,,,
17828,1497380317.0,,,192.168.2.112,192.168.5.155,ICMP test detected,,,,,,
17829,1497380317.0,,,192.168.2.112,192.168.5.156,ICMP test detected,,,,,,
17830,1497380317.0,,,192.168.2.112,192.168.5.157,ICMP test detected,,,,,,
17831,1497380317.0,,,192.168.2.112,192.168.5.158,ICMP test detected,,,,,,
17832,1497380317.0,,,192.168.2.112,192.168.5.159,ICMP test detected,,,,,,
17833,1497380317.0,,,192.168.2.112,192.168.5.160,ICMP test detected,,,,,,
17834,1497380317.0,,,192.168.2.112,192.168.5.161,ICMP test detected,,,,,,
17835,1497380317.0,,,192.168.2.112,192.168.5.162,ICMP test detected,,,,,,
17836,1497380317.0,,,192.168.2.112,192.168.5.165,ICMP test detected,,,,,,
17837,1497380317.0,,,192.168.2.112,192.168.5.166,ICMP test detected,,,,,,
17838,1497380317.0,,,192.168.2.112,192.168.5.167,ICMP test detected,,,,,,
17839,1497380317.0,,,192.168.2.112,192.168.5.168,ICMP test detected,,,,,,
17840,1497380317.0,,,192.168.2.112,192.168.5.169,ICMP test detected,,,,,,
17841,1497380317.0,,,192.168.2.112,192.168.5.170,ICMP test detected,,,,,,
17842,1497380317.0,,,192.168.2.112,192.168.5.171,ICMP test detected,,,,,,
17843,1497380317.0,,,192.168.2.112,192.168.5.172,ICMP test detected,,,,,,
17844,1497380317.0,,,192.168.2.112,192.168.5.173,ICMP test detected,,,,,,
17845,1497380317.0,,,192.168.2.112,192.168.5.174,ICMP test detected,,,,,,
17846,1497380317.0,,,192.168.2.112,192.168.5.175,ICMP test detected,,,,,,
17847,1497380317.0,,,192.168.2.112,192.168.5.176,ICMP test detected,,,,,,
17848,1497380317.0,,,192.168.2.112,192.168.5.177,ICMP test detected,,,,,,
17849,1497380317.0,,,192.168.2.112,192.168.5.178,ICMP test detected,,,,,,
17850,1497380317.0,,,192.168.2.112,192.168.5.179,ICMP test detected,,,,,,
17851,1497380317.0,,,192.168.2.112,192.168.5.180,ICMP test detected,,,,,,
17852,1497380317.0,,,192.168.2.112,192.168.5.183,ICMP test detected,,,,,,
17853,1497380317.0,,,192.168.2.112,192.168.5.184,ICMP test detected,,,,,,
17854,1497380317.0,,,192.168.2.112,192.168.5.187,ICMP test detected,,,,,,
17866,1497380317.0,,,192.168.2.112,192.168.5.190,ICMP test detected,,,,,,
17867,1497380317.0,,,192.168.2.112,192.168.5.191,ICMP test detected,,,,,,
17868,1497380317.0,,,192.168.2.112,192.168.5.192,ICMP test detected,,,,,,
17869,1497380317.0,,,192.168.2.112,192.168.5.193,ICMP test detected,,,,,,
17870,1497380317.0,,,192.168.2.112,192.168.5.194,ICMP test detected,,,,,,
17871,1497380317.0,,,192.168.2.112,192.168.5.195,ICMP test detected,,,,,,
17872,1497380317.0,,,192.168.2.112,192.168.5.196,ICMP test detected,,,,,,
17873,1497380317.0,,,192.168.2.112,192.168.5.197,ICMP test detected,,,,,,
17874,1497380317.0,,,192.168.2.112,192.168.5.198,ICMP test detected,,,,,,
17875,1497380317.0,,,192.168.2.112,192.168.5.199,ICMP test detected,,,,,,
17876,1497380317.0,,,192.168.2.112,192.168.5.200,ICMP test detected,,,,,,
17877,1497380317.0,,,192.168.2.112,192.168.5.201,ICMP test detected,,,,,,
17878,1497380317.0,,,192.168.2.112,192.168.5.202,ICMP test detected,,,,,,
17879,1497380317.0,,,192.168.2.112,192.168.5.203,ICMP test detected,,,,,,
17880,1497380317.0,,,192.168.2.112,192.168.5.204,ICMP test detected,,,,,,
17881,1497380317.0,,,192.168.2.112,192.168.5.205,ICMP test detected,,,,,,
17882,1497380317.0,,,192.168.2.112,192.168.5.206,ICMP test detected,,,,,,
17883,1497380317.0,,,192.168.2.112,192.168.5.207,ICMP test detected,,,,,,
17884,1497380317.0,,,192.168.2.112,192.168.5.208,ICMP test detected,,,,,,
17885,1497380317.0,,,192.168.2.112,192.168.5.209,ICMP test detected,,,,,,
17886,1497380317.0,,,192.168.2.112,192.168.5.210,ICMP test detected,,,,,,
17887,1497380317.0,,,192.168.2.112,192.168.5.211,ICMP test detected,,,,,,
17888,1497380317.0,,,192.168.2.112,192.168.5.212,ICMP test detected,,,,,,
17889,1497380317.0,,,192.168.2.112,192.168.5.213,ICMP test detected,,,,,,
17890,1497380317.0,,,192.168.2.112,192.168.5.214,ICMP test detected,,,,,,
17891,1497380317.0,,,192.168.2.112,192.168.5.215,ICMP test detected,,,,,,
17892,1497380317.0,,,192.168.2.112,192.168.5.216,ICMP test detected,,,,,,
17893,1497380317.0,,,192.168.2.112,192.168.5.217,ICMP test detected,,,,,,
17894,1497380317.0,,,192.168.2.112,192.168.5.218,ICMP test detected,,,,,,
17895,1497380317.0,,,192.168.2.112,192.168.5.219,ICMP test detected,,,,,,
17896,1497380317.0,,,192.168.2.112,192.168.5.220,ICMP test detected,,,,,,
