initial_ph,minimum_ph,delta_ph_0,Tmax,rho,omega,P,N,TP,FP,Alerts,"B[0,1,3]","B[0,1,4]","B[0,2,5]","B[0,2,6]"
1000.0,100.0,500.0,20,0.0,200.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,300.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,400.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,500.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,600.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,700.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,800.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,900.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,1000.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,1100.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,1200.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,1300.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,1400.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,1500.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,1600.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,1700.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,1800.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,1900.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,2000.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,2100.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,2200.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,2300.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,2400.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,2500.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,2600.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,2700.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,2800.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,2900.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,3000.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,3100.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.0,3200.0,3,997,3,0,1,0.36,0.24,0.2,0.2
1000.0,100.0,500.0,20,0.02,200.0,3,997,3,0,1,0.36146761106578246,0.23975415423033722,0.19938911735194012,0.19938911735194012
1000.0,100.0,500.0,20,0.02,300.0,3,997,3,0,1,0.36173753253247626,0.23970866833047394,0.19927689956852487,0.19927689956852487
1000.0,100.0,500.0,20,0.02,400.0,3,997,3,0,1,0.3618321342203014,0.23969270668014,0.19923757954977925,0.19923757954977925
